0,468
1E-04,9611
0.0002,17888
0.0003,25494
0.0004,32855
0.0005,39496
0.0006,46025
0.0007,52058
0.0008,58044
0.0009,63968
0.001,69199
0.0011,74352
0.0012,79653
0.0013,84457
0.0014,89152
0.0015,93731
0.0016,97664
0.0018,106011
0.0019,109441
0.002,113329
0.0021,116754
0.0022,119972
0.0023,123212
0.0024,126091
0.0025,129064
0.0026,131796
0.0027,134281
0.0028,136829
0.0029,139257
0.003,141308
0.0031,143241
0.0032,145195
0.0033,146746
0.0034,148306
0.0035,149861
0.0036,151367
0.0037,152513
0.0038,153586
0.0039,154449
0.004,155375
0.0041,156116
0.0042,156908
0.0043,157559
0.0044,157962
0.0045,158198
0.0046,158241
0.0047,157888
0.0048,157898
0.0049,157980
0.005,157703
0.0051,157326
0.0052,156943
0.0053,156453
0.0054,156104
0.0055,155214
0.0056,154830
0.0057,154010
0.0058,153135
0.0059,152287
0.006,151220
0.0061,150193
0.0062,148983
0.0063,148005
0.0064,146789
0.0065,145447
0.0066,143993
0.0067,142557
0.0068,141199
0.0069,139811
0.007,138335
0.0071,136757
0.0072,135019
0.0073,133360
0.0074,131618
0.0075,129740
0.0076,128147
0.0077,126483
0.0078,124397
0.0079,122442
0.008,120716
0.0081,118425
0.0082,116675
0.0083,114621
0.0084,112450
0.0085,110594
0.0086,108535
0.0087,106492
0.0088,104074
0.0089,102092
0.009,100101
0.0091,97806
0.0092,95750
0.0093,93451
0.0094,91288
0.0095,89010
0.0096,86672
0.0097,84784
0.0098,82729
0.0099,80353
0.01,78272
